author,n_items,cluster_id
47e95ad9-3efc-53d4-9572-f218e43569d6,1309,3
65aef0b4-c7da-59ab-b532-5c1dfda8a799,630,3
a2a918fa-49dc-54aa-b94d-67319a49cc27,607,7
876dbb48-9598-5e4c-bff6-4558c537cf79,594,3
b4e39487-4fc5-58d3-9337-d111a5b56c0c,565,3
95d8451e-8d78-5b0a-80fb-7e7cba9b8c61,534,7
5d481beb-2ed4-588f-9dd0-f58c8aed6497,520,3
14c6d289-e76f-53cb-accf-dc743ee823b7,513,3
804c2cac-b542-5712-ae77-8ba37afcd111,477,3
07535b86-2ca0-59bb-bb51-ffb6a8e8d54c,467,3
e54ca3d2-32c5-5075-8322-09a030778b80,447,3
aec1a107-b148-5932-b091-71abe0534ac1,430,3
a17d5494-6562-5ffe-bee8-9788ea44c1b5,413,2
5dcc93b8-60f3-513d-9972-3a86c52206f3,385,4
58e3f58e-1998-5c29-9f43-52eb3e5b89da,372,3
a45e4d5b-475d-5fdf-9fb3-48c64b37c5d9,359,3
bb7f90cc-e43f-5954-80ab-ff02c310c645,354,3
c73242b6-611f-59d7-ae4a-93980aa20061,349,3
e8aa5251-e5c1-5097-bca1-345176030ba3,347,3
a87a0843-4581-5b9d-8044-3f6a6d169c1f,342,7
73dd144b-de86-5500-af48-604a2522bd7b,338,3
091a5475-d41d-5fdf-b074-afd9a0cadcad,338,3
8b502164-90a3-5c9a-83c7-0377fbdf11f1,338,3
1609cdf7-865a-5918-ac3a-6aefd089f83d,338,3
1ab05044-cc9b-5823-b1f2-6ef7f3e465f3,331,3
c87a75cd-472a-5da0-a517-890524f85502,329,7
5b69fc10-c65d-5605-bc32-a2d88740488e,328,7
fd756b21-6d45-527d-bbcd-f54e55bc36b7,320,3
c5d084d8-a1ef-5cea-ab88-57dde1b2d59f,315,3
c8eb554f-188d-5218-aa2b-9033a60e7dac,309,4
887a59b8-6465-56fb-ad28-c1bb1575aaf2,306,3
a6dc9024-4eed-5912-b520-e9d055388ce2,294,3
84ee8fc3-9580-5f58-8216-83e44ca06777,291,3
28b88ccd-5a0b-5965-93e0-0150fd2f1486,290,3
321ca594-9a8e-5c4b-b91d-1746c88fe016,290,3
6b6bc717-7fd5-5acd-91c8-fd525cbaa0b1,289,7
97b98216-28ba-56e0-8d5c-42029669cd7f,289,3
a38a2f03-4916-59bb-a438-770d1081402f,285,3
c78e8a0d-68fc-56fb-a51e-363eca10d596,278,3
28962042-af78-5432-82a1-7f9a3e97c710,272,3
6e44420c-a414-5525-b86d-1cf16009193d,268,3
04c61de1-1773-5ccb-b3d6-12d571c5bc08,255,3
7e45b522-365f-5024-872a-ee44e46afa73,254,3
2d95bf8c-9312-527f-b250-c0766db97808,248,3
a444b152-f084-5e9d-bece-b4e2bd28d803,247,3
09c784d5-3971-5b7e-aa7c-85d699ce7591,246,3
b0c20039-d69b-518f-b64b-ead78fb106f2,238,3
b6e78f6a-a35b-5c1a-9dc3-c9abc1cf72dc,235,3
581606bd-0120-5d5d-b292-901be2196ad9,234,3
1b007268-b441-5211-a94b-db0da651c4c6,233,3
fb9c9b74-d671-513f-b90e-cde5a78b9f5f,225,3
7fd039a4-197b-560f-9d69-5c6bf8c4669c,225,3
38ff66fc-2073-52e0-b2e6-c0a5e467e726,223,3
ffe1d098-09ab-5035-b67c-1e0bfa2accf2,216,3
30a3e90c-dbc5-56d4-95f5-ebc1550fce5a,203,7
674921f9-d6a7-5306-96b5-c020a79afb3d,203,3
70729d21-5461-5a70-bfbe-0f9697e8ab1f,202,3
e93fd212-f669-56a6-8b64-04ad677f31a1,202,3
d3440973-d3f5-5a75-bb87-566ab8250990,200,3
a7562999-0ef6-59a4-9f5d-aba99b0263c0,199,3
4c5916c2-3b9a-5921-9026-9204c52f64cc,196,3
fe8ed026-ccd7-59aa-924c-e9b7431c9f67,196,3
a9e032a0-827b-565e-b68b-dc5a0f027bfb,195,3
07ea3094-1fe6-5c26-a472-7c35219c9e07,193,7
f6f7b0e2-80f0-5d57-8550-60bbbb8796c9,193,3
07230cc5-a5bd-578a-8b23-49eec977aca0,193,3
f440cf06-8a2d-54a7-8c3c-6c61f470cde1,192,3
ffdfa49b-40ad-5464-b231-133845410106,192,3
38bc26d3-913f-5a06-a1c0-954b84495ffd,192,3
e1681233-f9ee-5b4f-9b94-d70b9fc91969,190,3
9719a967-f37e-58a5-8cdd-fc44fc3ea3a2,188,3
7a1ce778-0a56-5de8-b467-30d0664f9396,188,3
a3ad6d75-acff-5780-bf80-0292d4f09466,188,3
1c1f2c62-77d5-5244-9c30-54d6067538b8,186,3
8fa53e26-f081-5ead-89a9-b5d24e0580c4,185,3
b0f468e3-a652-5eca-8901-3f1ec02c7c5c,184,3
ebc24908-9252-5514-9996-e86167ff94c9,182,3
